feature,effect,abs_effect,rank
kurtosis,-0.9579994510521614,0.9579994510521614,1
skewness,0.8859320090230556,0.8859320090230556,2
cv_90d,-0.006212292214564502,0.006212292214564502,3
rolling_std_14d_mean,0.00039319563395822423,0.00039319563395822423,4
diff_abs_mean,-0.00027000613980801525,0.00027000613980801525,5
trend_slope_90d,8.82391113998863e-05,8.82391113998863e-05,6
rolling_std_7d_mean,8.71504567833304e-05,8.71504567833304e-05,7
max_drawdown,7.913140412586739e-05,7.913140412586739e-05,8
rolling_std_30d_mean,-6.022633143693394e-05,6.022633143693394e-05,9
max,-1.2841246990508102e-05,1.2841246990508102e-05,10
q25,1.1541810556166376e-05,1.1541810556166376e-05,11
median,5.7582788435312565e-06,5.7582788435312565e-06,12
trend_intercept,-1.1157619248683637e-06,1.1157619248683637e-06,13
mean,9.673479579743145e-07,9.673479579743145e-07,14
