feature,effect,abs_effect,rank
kurtosis,-0.9688837250778489,0.9688837250778489,1
skewness,0.9126921732584865,0.9126921732584865,2
cv_90d,-0.010429125825785897,0.010429125825785897,3
mean_drawdown,0.0018036861248358037,0.0018036861248358037,4
rolling_std_14d_mean,0.0011517907073153527,0.0011517907073153527,5
diff_abs_mean,-0.00021185029821240155,0.00021185029821240155,6
trend_slope_90d,0.00012520757160578255,0.00012520757160578255,7
std,2.1230027936676533e-05,2.1230027936676533e-05,8
min,-9.759928361886358e-06,9.759928361886358e-06,9
mean,9.981080149070313e-07,9.981080149070313e-07,10
