feature,effect,std,lower_95,upper_95,significant
mean,25.659146039706933,12.133286669534126,8.547755752541907,46.44968402191191,True
trend_intercept,-22.409599568256166,11.765241106514187,-42.63383201662819,-5.742306561921163,True
recent_vs_past_ratio,7.820741036702174,4.879481375351842,1.6823915977684303,13.335884785418694,True
max,-4.660666947939658,0.6902585151985601,-6.237268648653213,-4.040006006361013,True
min,2.8969016098033302,1.3298509622486598,1.406281733054125,5.494345456795619,True
q75,-1.7271107721073715,1.1062851117164296,-4.312402204435696,-0.4582708147192422,True
diff_mean,1.2871468899947367,0.44223050846156503,0.8135996359846734,1.9861204936725008,True
std,-1.1304659628363931,0.6167263211378494,-2.1242516015669732,-0.22328780705002327,True
diff_abs_mean,-1.053795251943853,0.5686970143927833,-2.023762987592506,-0.5941699800129073,True
q25,1.0178064386944339,0.7508533899851959,0.2925073535977394,2.840727394088594,True
max_drawdown,0.522005125979841,0.2199135481701626,0.3495170418889501,0.8953656987013398,True
cv_90d,0.13985617717184187,0.010788661447812218,0.1239254060937047,0.16700944745370894,True
rolling_std_14d_mean,0.11923789462329373,0.031198299595179117,0.07755387920139126,0.15926237719369488,True
kurtosis,-0.11058551575973573,0.002397171442149657,-0.11451882905860193,-0.10521579279839871,True
median,0.1039826492963233,0.2125153296819933,-0.3848393951743298,0.5139195744112892,False
rolling_std_7d_mean,0.1028883451168928,0.08464339696142809,0.00019826945012900403,0.2654467987813986,True
skewness,0.09272095083297395,0.002443921236555174,0.0880074816376811,0.09797233251254486,True
trend_slope_90d,-0.08492151069934978,0.11288028371447002,-0.28114044516779935,0.05969374350597268,False
iqr,0.06961382567882264,0.039318065853764565,0.007277817011769484,0.17416282173590236,True
rolling_std_30d_mean,-0.06141325300623589,0.0169316360897266,-0.09507278376939421,-0.028036473916099446,True
mean_drawdown,-0.03682444710810232,0.0039577198182803655,-0.048947139997608885,-0.032681335472466426,True
recent_vs_past_diff,0.020786976747176875,0.012520965655436927,-0.012572343257711024,0.030419793719783678,False
recent_change_rate,0.016697981873997205,0.008908084693498184,0.0016448806477314757,0.028458879272941735,True
