feature,effect,std,lower_95,upper_95,significant
min,30.095553176925073,2.870291850884922,24.699221760363592,35.63129211118405,True
mean,-19.43421813065275,6.469128484134769,-31.999415678886184,-6.96419273381017,True
max,-10.711570523630911,3.049680030594007,-16.22383450371568,-4.624737729263349,True
trend_intercept,-6.555675388588867,3.0477023188738412,-12.313193460931384,-0.13764494082363787,True
q25,5.543085222375432,7.604538694533868,-8.562442608652306,20.61968464903755,False
q75,4.352029321945815,7.982274877973861,-12.135403197965562,19.456869680455473,False
iqr,0.4395198789776867,0.40798957531186597,-0.3143379011979375,1.2764761003599603,False
recent_vs_past_diff,-0.35042215368095925,0.051245575293543386,-0.4524304551534277,-0.24384495771372228,True
rolling_std_7d_mean,-0.29210916944997384,0.11155265300666273,-0.49964468774345777,-0.06962168146724128,True
median,-0.19658209190010953,3.079189071712033,-6.2723727498009625,5.723013761813577,False
diff_mean,0.17661383431489,0.0981322290768206,-0.01949103519319653,0.36582778273506583,False
rolling_std_30d_mean,0.12555956554777065,0.08197422976638477,-0.03438057409110555,0.2864434628558823,False
std,-0.08613778482269005,0.20116650315063886,-0.4805815263154592,0.30161983366084044,False
trend_slope_90d,0.07671053718470619,0.161101241961179,-0.2219882589420962,0.40368429456259797,False
max_drawdown,0.059538214860110635,0.07007425510705795,-0.07794785319540795,0.19928885973056576,False
kurtosis,-0.050698434566746914,0.002453192556570472,-0.05567348811940292,-0.04611047995553854,True
cv_90d,-0.04567486120071229,0.007086493768679641,-0.06538312500665602,-0.03586669212514535,True
diff_abs_mean,0.04014907741280331,0.025586766612972017,-0.011935219219134601,0.08674648362260741,False
mean_drawdown,0.03920956040675815,0.020104145872533778,-0.0010271596108020894,0.07757974686196947,False
rolling_std_14d_mean,0.03405961492676332,0.13215986079288233,-0.2302540198029437,0.28900952518953943,False
skewness,-0.031501639633686074,0.0018265218079288215,-0.03497911952622618,-0.027942921710412887,True
recent_change_rate,-0.02985281037576721,0.014828597318047906,-0.05990757957404563,-0.0015300412112224627,True
recent_vs_past_ratio,-0.015341494146612454,0.001810780056626863,-0.018957903531695883,-0.011760159128366752,True
