feature,effect,abs_effect,rank
skewness,-0.06906142677176,0.06906142677176,1
kurtosis,0.024139953581020092,0.024139953581020092,2
cv_90d,-0.01753039610303834,0.01753039610303834,3
rolling_std_7d_mean,0.004787122309377682,0.004787122309377682,4
diff_abs_mean,-0.0016193739773231464,0.0016193739773231464,5
rolling_std_14d_mean,0.0003305512579087506,0.0003305512579087506,6
min,0.0002333367616192665,0.0002333367616192665,7
max_drawdown,-0.00022082746862508572,0.00022082746862508572,8
std,7.020525773897279e-05,7.020525773897279e-05,9
trend_slope_90d,-4.899858048079686e-05,4.899858048079686e-05,10
median,2.4034931266725648e-05,2.4034931266725648e-05,11
trend_intercept,1.3363105590674602e-05,1.3363105590674602e-05,12
max,-7.999838638373594e-06,7.999838638373594e-06,13
q75,-2.9427090533139946e-06,2.9427090533139946e-06,14
