from,to,frequency,mean_effect,abs_mean_effect
rolling_std_30d_mean,trend_slope_90d,0.97,1.8622746542329514,1.8622746542329514
median,mean,1.0,1.7482142943814551,1.7482142943814551
min,std,1.0,1.070982765582082,1.070982765582082
min,rolling_std_7d_mean,1.0,-0.9467116830661625,0.9467116830661625
trend_slope_90d,recent_vs_past_diff,1.0,0.9279976375851554,0.9279976375851554
max_drawdown,mean_drawdown,1.0,0.8962354112708557,0.8962354112708557
iqr,std,1.0,0.8711817949057056,0.8711817949057056
recent_change_rate,trend_slope_90d,0.95,0.8342617798951676,0.8342617798951676
diff_mean,trend_slope_90d,1.0,0.81933957800188,0.81933957800188
diff_abs_mean,diff_mean,0.97,0.7863608855887739,0.7863608855887739
rolling_std_30d_mean,diff_mean,0.97,-0.7237386379946359,0.7237386379946359
trend_intercept,min,1.0,0.6591923414089536,0.6591923414089536
max,min,1.0,0.6050594157738539,0.6050594157738539
min,iqr,1.0,-0.5350569983201766,0.5350569983201766
min,diff_mean,0.99,0.5249853775940772,0.5249853775940772
rolling_std_14d_mean,rolling_std_30d_mean,0.95,0.524900848679992,0.524900848679992
u_i_target,trend_slope_90d,1.0,-0.5227533672999098,0.5227533672999098
min,trend_slope_90d,0.96,0.4821714264990463,0.4821714264990463
min,diff_abs_mean,1.0,0.44969309556892184,0.44969309556892184
diff_abs_mean,max_drawdown,1.0,0.4189883100696506,0.4189883100696506
iqr,rolling_std_7d_mean,0.73,-0.3731002167733888,0.3731002167733888
rolling_std_7d_mean,diff_abs_mean,1.0,0.3648389744397197,0.3648389744397197
std,diff_mean,0.97,0.3444198541408501,0.3444198541408501
u_i_target,std,0.99,0.3321812311762606,0.3321812311762606
recent_vs_past_diff,max_drawdown,1.0,0.32653087451726165,0.32653087451726165
std,recent_vs_past_diff,1.0,0.31722835100421426,0.31722835100421426
skewness,kurtosis,1.0,0.3141473116234442,0.3141473116234442
std,trend_slope_90d,0.97,0.3087890041983074,0.3087890041983074
rolling_std_30d_mean,std,0.92,-0.2898704090879288,0.2898704090879288
iqr,diff_mean,0.97,-0.2858591408962361,0.2858591408962361
rolling_std_7d_mean,rolling_std_30d_mean,0.83,0.2724859369227312,0.2724859369227312
iqr,rolling_std_14d_mean,0.73,0.2241002921903219,0.2241002921903219
u_i_target,min,0.71,-0.22052078024046015,0.22052078024046015
u_i_target,kurtosis,1.0,-0.2195973062107213,0.2195973062107213
iqr,rolling_std_30d_mean,0.94,0.2070855105468299,0.2070855105468299
median,min,0.94,-0.20180099839718982,0.20180099839718982
rolling_std_30d_mean,diff_abs_mean,0.97,0.1633448776007479,0.1633448776007479
iqr,trend_slope_90d,0.89,0.16241681510181383,0.16241681510181383
u_i_target,diff_abs_mean,1.0,-0.16058146421522193,0.16058146421522193
recent_vs_past_diff,mean_drawdown,1.0,-0.14651705709749052,0.14651705709749052
iqr,recent_vs_past_diff,1.0,0.14387061101494203,0.14387061101494203
rolling_std_30d_mean,recent_vs_past_diff,1.0,-0.1294780139991905,0.1294780139991905
min,rolling_std_14d_mean,0.74,-0.11836777353041075,0.11836777353041075
diff_mean,recent_change_rate,0.98,0.10761068389706593,0.10761068389706593
recent_change_rate,max_drawdown,0.71,-0.10626859528636066,0.10626859528636066
std,diff_abs_mean,0.97,0.09660094989017748,0.09660094989017748
diff_mean,recent_vs_past_diff,1.0,0.09340498866506701,0.09340498866506701
iqr,diff_abs_mean,0.96,0.08472000697673504,0.08472000697673504
max,std,1.0,0.0756330370848363,0.0756330370848363
min,mean_drawdown,1.0,0.07381790441964702,0.07381790441964702
std,recent_change_rate,0.97,-0.059669153807833546,0.059669153807833546
recent_change_rate,recent_vs_past_diff,0.9,-0.059158386464210864,0.059158386464210864
rolling_std_14d_mean,diff_abs_mean,1.0,0.05861515596748153,0.05861515596748153
rolling_std_14d_mean,trend_slope_90d,0.88,0.0577649559722576,0.0577649559722576
recent_change_rate,mean_drawdown,0.98,0.05431960953043779,0.05431960953043779
cv_90d,recent_vs_past_ratio,0.84,0.05356669335024331,0.05356669335024331
min,recent_vs_past_diff,0.88,-0.04856042267356738,0.04856042267356738
rolling_std_14d_mean,std,0.89,0.04764763307230088,0.04764763307230088
q25,iqr,1.0,-0.046812530383756705,0.046812530383756705
u_i_target,max_drawdown,0.84,0.04668972099961775,0.04668972099961775
min,max_drawdown,0.99,-0.04592799099026598,0.04592799099026598
rolling_std_7d_mean,std,0.87,0.0444220596921663,0.0444220596921663
rolling_std_30d_mean,recent_change_rate,0.96,0.040379923839595024,0.040379923839595024
trend_intercept,trend_slope_90d,1.0,-0.03698416752847259,0.03698416752847259
max,trend_slope_90d,1.0,-0.03544705289119408,0.03544705289119408
rolling_std_7d_mean,diff_mean,0.85,0.03535546826802549,0.03535546826802549
q75,iqr,0.94,0.03394769171608556,0.03394769171608556
iqr,recent_change_rate,0.97,-0.033906668434765024,0.033906668434765024
diff_abs_mean,mean_drawdown,1.0,0.033375461544600936,0.033375461544600936
iqr,max_drawdown,1.0,-0.03193077289139747,0.03193077289139747
diff_abs_mean,recent_vs_past_diff,0.99,-0.030789254194249764,0.030789254194249764
trend_slope_90d,mean_drawdown,1.0,0.029812209101514803,0.029812209101514803
max,diff_mean,0.99,0.02917214749377966,0.02917214749377966
std,max_drawdown,1.0,-0.028435874195592615,0.028435874195592615
rolling_std_30d_mean,mean_drawdown,0.98,0.02819222560090632,0.02819222560090632
rolling_std_14d_mean,recent_change_rate,0.99,-0.028019638815274122,0.028019638815274122
u_i_target,skewness,0.89,0.024696952841422058,0.024696952841422058
max,max_drawdown,1.0,0.023565900696703026,0.023565900696703026
min,recent_change_rate,0.77,-0.02292896007201814,0.02292896007201814
u_i_target,cv_90d,0.91,-0.022476682232517853,0.022476682232517853
iqr,mean_drawdown,1.0,0.021582508259030596,0.021582508259030596
rolling_std_14d_mean,recent_vs_past_diff,0.84,-0.02055732691581152,0.02055732691581152
trend_slope_90d,max_drawdown,0.97,-0.019311295963573113,0.019311295963573113
skewness,recent_vs_past_ratio,0.76,0.01841149804043502,0.01841149804043502
rolling_std_7d_mean,max_drawdown,0.95,0.016200224949315074,0.016200224949315074
trend_intercept,std,0.99,0.015330302208133284,0.015330302208133284
trend_intercept,diff_mean,0.86,0.015312141904030402,0.015312141904030402
rolling_std_7d_mean,recent_change_rate,0.91,0.014423342753452535,0.014423342753452535
rolling_std_14d_mean,max_drawdown,0.98,0.014209037261184894,0.014209037261184894
rolling_std_30d_mean,max_drawdown,0.96,-0.014113257004859507,0.014113257004859507
std,mean_drawdown,0.96,0.013792242079655688,0.013792242079655688
rolling_std_14d_mean,diff_mean,0.92,0.013467854764626648,0.013467854764626648
diff_mean,mean_drawdown,0.95,0.012783384123489606,0.012783384123489606
max,mean_drawdown,1.0,-0.008817215406909648,0.008817215406909648
diff_mean,max_drawdown,0.94,-0.008636891646052266,0.008636891646052266
diff_abs_mean,kurtosis,0.91,-0.008564452389546166,0.008564452389546166
trend_intercept,recent_vs_past_diff,1.0,-0.00740893810973633,0.00740893810973633
rolling_std_7d_mean,recent_vs_past_diff,0.79,0.0064154148413075925,0.0064154148413075925
rolling_std_14d_mean,mean_drawdown,0.96,0.006353049134717823,0.006353049134717823
min,kurtosis,0.97,-0.005872064258396936,0.005872064258396936
max,rolling_std_7d_mean,0.85,-0.005643209735308784,0.005643209735308784
trend_intercept,rolling_std_7d_mean,0.86,0.004948521978101799,0.004948521978101799
median,trend_slope_90d,0.78,-0.004766503799574889,0.004766503799574889
median,rolling_std_14d_mean,0.81,-0.003446349235668569,0.003446349235668569
rolling_std_7d_mean,trend_slope_90d,0.93,-0.0032488001091660833,0.0032488001091660833
rolling_std_7d_mean,mean_drawdown,0.93,0.00299311114633822,0.00299311114633822
mean,rolling_std_7d_mean,0.86,0.002696539010479078,0.002696539010479078
trend_intercept,recent_change_rate,0.76,-0.0023472903445172673,0.0023472903445172673
rolling_std_30d_mean,kurtosis,0.86,-0.001272895923810563,0.001272895923810563
trend_intercept,rolling_std_30d_mean,0.72,-0.000737027116691371,0.000737027116691371
mean,max_drawdown,0.73,0.0004986212698267043,0.0004986212698267043
